index,text,company,positive,negative,notr
21,Sen daha hızlısına layıksın! 👨‍💻İnternetinin hızı senin hızına yetişemiyorsa Turkcell Superonline fiber paketini yükselt modeminle barış.,Turkcell Superonline,Sen daha hızlısına layıksın!|modeminle barış.,İnternetinin hızı senin hızına yetişemiyorsa,
22,Superonline Fiber,Superonline Fiber,,,
23,12.06.2024 günü nöbetçi olan Antalya Lara fener mahallesinde bulunan Gözde Eczanesi G** T**den aldığım siprogut damla ve lamiderm krem piyasa fiyatı toplam 185+65= 250 lira iken benden 650 lira aldı. Enflasyonun temel sebebi böyle insanlar. Gereken mecralara şikayet edeceğim.,Gözde Eczanesi|siprogut|lamiderm,,Enflasyonun temel sebebi böyle insanlar|benden 650 lira aldı,
24,Ürün hasarlı geldi. Değişim talep ettim ancak değişim süreci uzun sürdüğü için onuda iptal ettim en yakın zamanda para iademi bekliyorum. Mağduriyet yaşadığım için üzgünüm.,,,Mağduriyet yaşadığım için üzgünüm|hasarlı geldi|değişim süreci uzun sürdüğü için onuda iptal ettim,
25,@BtcTurkDestek Bakın buradan da göstereyim.,BtcTurkDestek,,,
26,@enerjisadestek Zaten her işi fatura bilgilendirme yapıyor.,enerjisadestek,,,
27,Ziraat Yatırım Müşteri Hizmetleri (0850 222 2979) hatta yarım saatten fazla beklettikten sonra I am sorry we're experiencing technical difficulties diyerek telefonu suratınıza kapatıyor???@ziraatyatirim @ziraatbankasi@ZiraatDestek,Ziraat Yatırım Müşteri Hizmetleri|ziraatyatirim|ziraatbankasi|ZiraatDestek,,yarım saatten fazla beklettikten sonra I am sorry we're experiencing technical difficulties diyerek telefonu suratınıza kapatıyor,
28,'' AzizYıldırımınSuçÖrgütü IrkçıFENEV '' '' AzizYıldırımınSuçÖrgütü IrkçıFENEV '' '' AzizYıldırımınSuçÖrgütü IrkçıFENEV '' TTDESTEK,TTDESTEK,,AzizYıldırımınSuçÖrgütü IrkçıFENEV,
29,05.06.2024 tarihinde arayıp internet yavaşlığından kaynaklı arıza kaydı bırakmak için çağrı merkezine ulaştım. Ancak ileri tarih arıza kaydı oluşturamadıklarını dile getirdiler ertesi aksam tekrar aradığımda cumartesi 10.00/14.00 arası gelip teknik destek yapacak dendi. Cumartesi günü evden çıkmayıp beklememe rağmen gelen olmadı. Tekrar aradığımda size ulaşılamamış diye yalan beyanda bulunuldu. Tekrardan 22.00 a kadar gelinecek denildi. Ve yine gelen olmadı. Yine aradığımda pazar günü 10.00/14.00 diyorlar çocuk oyalar gibi. Tüm hafta sonunu bunun için ayırmamız da cabası Faturayı bir gün ödemesek interneti yavaşlatan hatta kapatan Kablo Net ücretini ödediğimiz şeyin desteğini sağlamaktan aciz. Kablo Net pişmanlıktır arkadaşlar bilginize.,Kablo Net,desteğini sağlamaktan aciz,yalan beyanda bulunuldu|gelen olmadı|pişmanlıktır|interneti yavaşlatan|kapatan,
30,Hızlı kargo ile güvenilir bir marka satın almanın mutluluğu,,Hızlı kargo ile güvenilir bir marka satın almanın mutluluğu|güvenilir|Hızlı kargo,,
31,Vallahi şaşırdım nereye yazacağımı uçak iptal ediyorsunuz telafi etmek yerine bizleri ugrastiriyorsunuz mail atıyorum hiç umrunuzda değil Aynı şeyleri yazıp duruyorsunuz bizmi hataliyiz peşin parayı veriyoruz hizmet alamıyoruz ya. 44320 kodum budur bakın@AJ_Destek,AJ_Destek,,uçak iptal ediyorsunuz|telafi etmek yerine bizleri ugrastiriyorsunuz|hiç umrunuzda değil|hataliyiz|hizmet alamıyoruz,
32,PTTCell menüsüne girdim ve karşıma çıkan başlıklardan hangi içerikleri kapsadığını ve ne özellikleri olduğunu öğrenmek için bir başlığa tıkladım. Ancak beni onay istemeden ve herhangi bir uyarı göstermeden doğrudan talebimi alarak üye yaptılar. Bu durum kabul edilemez hangi çağda yaşıyoruz? Haberim olmadan üye oldum ve üyelik ücreti bakiyemden kesilmiş. Böyle bir yöntemle insanları kendinize çekmeyi düşünüyorsanız yanılıyorsunuz. Üye olmak sadece tek bir tuşla olmamalıdır. Yanlışlıkla veya bilmeden basılabilir ve bunun bedeli 79 liralık üyelik ücreti olarak yansıtılmıştır bu çok üzücü.,PTTCell,,kabul edilemez|yanılıyorsunuz|üzücü,
33,PayFix hesabımdan banka hesabıma para çekemiyorum geçici süre çekim işlemi kapatılmıştır diye uyarı verip duruyor. Müşteri temsilcisine 15 dakika sonunda ulaştım. Sorunun gün içerisinde giderileceğini söyledi. 12:10 civarında konuşmuştum hala giderilmedi. FAST işlemlerde Kuveyt Türk Odeobank ve Şekerbank'ın açık olduğunu söyledi. Onlarla da denedim çekemedim. Her banka için aynı uyarıyı veriyor. Bu durum ciddi bir durum. PayFix'e olan güvenin kırılması anlamına geliyor.,PayFix|Kuveyt Türk|Odeobank|Şekerbank,giderileceğini söyledi,ciddi bir durum|PayFix'e olan güvenin kırılması anlamına geliyor|hala giderilmedi,
34,Kim GB İster uygulamasında 1 hafta boyunca girip görevleri tamamladım son görev ise 11 TL'ye çark çevirmekti. Çarkı çevire bastım; parayı aldı fakat çevirmedi. İkinci defa çevirmek zorunda kaldım. Paramın geri iade edilip çözüme kavuşmasını istiyorum.,Kim GB İster,,Paramın geri iade edilip çözüme kavuşmasını istiyorum|parayı aldı fakat çevirmedi,
35,Türk Telekom müşterisi olarak 7 Haziran'da internetim için nakil başvurusunda bulundum. Ertesi gün Türk Telekom ekipleri geldi ancak oturduğum dairede internet altyapısı olmadığından 8 Haziran'da tekrar müşteri hizmetlerini arayarak nakil başvurusunun iptali için başvuru yaptım. Türk Telekom müşteri hizmetleri yetkili birimin beni arayarak iptal işlemlerini gerçekleştireceğini söyledi. 8 Haziran'dan beri 4 veya 5 defa tekrar müşteri hizmetlerini arayarak acil olduğunu bildirdim. Yetkili birime mesaj ilettiklerini söylediler ancak hala arayan soran yok. 8 Haziran'dan beri internet mağduruyum. Eşim öğretmen ve internetle ilgili işleri oluyor. Bizler internet kafeye giderek işlerimizi halletmeye çalışıyoruz. Bu konuda Türk Telekom'dan şikayetçiyim.,Türk Telekom,iptal işlemlerini gerçekleştireceğini söyledi,internet mağduruyum|arayan soran yok,
36,Hotels.com üzerinden Türkiye için tl fiyatla bir otel rezervasyonu yaptırdım. Sunulan ve onaylanan fiyat 73.735 TL olmasına rağmen kredi kartımdan 75.999 TL çekildi. Tl fiyatla yurt içinde yapılan bir satıştan kur farkı alınmamalı. Çekilen farkın iadesini talep ediyorum. Belgeleri ek olarak koydum. Rezervasyon numaram: 72858605759839,Hotels.com,,kur farkı alınmamalı|Çekilen farkın iadesini talep ediyorum,
37,Payfix hesabıma kayıtlı mail ve telefon numarasını kullanmıyorum. Bilgilerimi güncelletmek ve Payfix e erişim sağlayabilmek adına benden istenilen nüfus kayıt örneği kimlik vukuat belgesi hepsini mail ile göndermiş olmama rağmen bilgilerimi güncellemiyorlar. Ben deprem bölgesinde konteynerde yaşayan biriyim benden fatura istiyorlar fatura vesaire yok eşimde de yok bende de yok. Ben sizlere gerekli kimlik belgelerini atmış olmama rağmen yardımcı olmuyorsunuz biz zaten depremzedeyiz mağduruz ve siz Payfix olarak bizi dahada mağdur ettiniz,Payfix,,yardımcı olmuyorsunuz|mağdur ettiniz|bilgilerimi güncellemiyorlar,
38,BİM'in kendi markası bebek bezini kullanmaya başladım. Son 5 aydır. Son zamanlarda hiç memnun değilim. Bir kere içinden kalın bant çıktı mağaza iade aldı. Sonraki aldığım bezde ise sürekli sol cırt tarafı kopuyor. Şikayet talebi oluşturulmuş olmasına rağmen mağaza gayet iyi ilgileniyor ama ilgilenmesi gereken kişiler henüz bir dönüş yapmadı. Bu durum beni çok rahatsız etti.,BİM,,hiç memnun değilim|içinden kalın bant çıktı|sürekli sol cırt tarafı kopuyor|henüz bir dönüş yapmadı|rahatsız etti,
39,Turkcell Bip Çeviri ile GLOMO 2020’de en yenilikçi uygulama ödülünü kazandı,Turkcell|Bip Çeviri,en yenilikçi uygulama ödülünü kazandı,,
40,@iyzicodestek @iyzico kartimi kapattım teşekkürler,iyzicodestek|iyzico,teşekkürler,,
41,Çok uygun fiyata aldım çok memnunum. Uzun yıllardır kullandığım ürün oynar başlıklı ve kaliteli. Tavsiye ederim,,Çok uygun fiyata aldım çok memnunum|Tavsiye ederim|kaliteli,oynar başlıklı,
42,Merhabalar Ben 28 mayısta 592 TL'ye kitap siparişi vermiştim 11 hazirana kadar kargoya verilmedi. Ben de iade etmek istediğimi söyledim iademin gerçekleştiğini 3-7 iş gününde paramın yatacağı söylendi. 9 gün geçti bankayı aradım. İade işleminin olmadığını söylediler. Şu anda asla ulaşamıyorum indekse. Çok kötü bir firma hem maddi hem manevi yıprandım. Bu siteden alışveriş yapmanızı önermiyorum.,indeks,,İade işleminin olmadığını söylediler|asla ulaşamıyorum|Çok kötü bir firma|hem maddi hem manevi yıprandım|alışveriş yapmanızı önermiyorum,
43,Getirden 24 mayısta Kınık marka maden suyu aldım. Sade limon ve mandalina aromalı. Sade ve limonlu gayet normal olmasına rağmen mandalinalı aromalı olanı içenler tadının plastik gibi olduğunu söylüyordu. Bugün kendimde içmek istediğimde aynı sorunla karşılaştım. Ürünün son kullanma tarihine baktığımda 10.05.24 olduğunu gördüm. Getir son kullanma tarihi geçmiş ürün göndermiş. Sorunu canlı yardımdan yazdığımda ise gerekli görüşmeleri yapacağız deyip geçiştirdiler.,Getir|Kınık,gayet normal,tadının plastik gibi olduğunu söylüyordu|son kullanma tarihi geçmiş ürün göndermiş|gerekli görüşmeleri yapacağız deyip geçiştirdiler,
44,uçak altına toplam kaç valiz verebiliyoruz kişi başı ayrıca 50 kg ağırlık aldım eğer fazla gelirse ekstra alma şansım var mı? @pegasusdestek,pegasusdestek,,,
45,18 aralık salı günü hattımı Vodafone taşımak için bayiden başvuru yaptım. En geç 1 haftaya açılır dediler ama hala ne bir bilgi mesajı ne de başka bir şey var. Ne zaman açılacak bu hat?? @VodafoneDestek,VodafoneDestek,,ne bir bilgi mesajı ne de başka bir şey var,
46,Ya siz artık bizimle dalga mı geçiyorsunuz? Amacınız nedir? Ya da iş bilmeyen insanları mı çalıştırıyorsunuz? Mimar KemallettinMahallesiDibekliCamiSokata gece 12den beri gene elektrik yok. 1 yıldır başımıza gelen belki 10. Uzun kesinti. Yeter artık .@BEDASDestek,BEDASDestek,,Ya siz artık bizimle dalga mı geçiyorsunuz?|iş bilmeyen insanları mı çalıştırıyorsunuz?|gece 12den beri gene elektrik yok|Yeter artık,
47,Evkolik marifeti ile sizden gönderilen bir adet Raks kutu vantilatör aldım. Kutuyu henüz açmadım. Üzerinde max 110 watt yazıyor. Türkiye de bütün prizler 220 çıkışlı bunu 220 çıkışlı prizde kullanabilir miyim. (özür dilerim elektrik konusunda cahilim )532 *****55 lütfen bu telefona bilgi verin.,Evkolik|Raks,,,
48,Yil boyu bin kere yaptığınız sözde bakim ve tadilatlar neydi? Boşuna mıydı? 1 haftadir gunde 3 kere hergun kesilip tadilat yapılıyor. Adana her yaz 40 dereceyi görüyor her yaz enerjiye yükleniliyor. @enerjisa @toroslardestek,enerjisa|toroslardestek,,sözde bakim ve tadilatlar|kesilip tadilat yapılıyor,
49,Mesaji atıp yer mi yapiyorsunuz ? @toroslardestektum işlemler yapildi cumlesinde 'mesaj yolladik rahatiz' diye mi anlayalim ?,toroslardestek,,Mesaji atıp yer mi yapiyorsunuz,
50,@bikeredeyaniI @tssdestek Yine kaçırdı uçağı @torinollugorkem,tssdestek,,Yine kaçırdı uçağı,
51,D smart ı iptal ettirmek istiyorum yardımcı olabilir misiniz @DSmartDestek,D smart|DSmartDestek,,iptal ettirmek istiyorum,
52,İşletmenizi en iyi tanıtabilecek doğru #sosyalmedya platformunu biliyor musunuz? #sosyalmedyauzmani #sosyalmedyapazarlama#danışmanlık #eğitim #işgeliştirme @kobidestek,kobidestek,,,
53,egzotik bir kokusu var  terlediginizde kokusunu hissediyorsunuz,,egzotik bir kokusu var,,
54,@VodafoneDestek Sinirsiz Red paketlerinizi 550 TRl-1100 TRl ye yukseltmis ve yurt dışında ilk 4 gün ek ücret odemeden paketimizi kullanabiliyor iken bunu da kaldirmissiniz. Bireyselden kurumsala geçmek isteyince de Kurumsal bayiilerinize ulasilamiyor.@TurkcellHizmet desteklutfen,VodafoneDestek|TurkcellHizmet|Sinirsiz Red,desteklutfen,yukseltmis|kaldirmissiniz|ulasilamiyor,
55,Yapmak istediğim alışverişi güvenlik prosedürleriniz yüzünden yapamıyorum. Güvenlik nedeniyle hesabıma konulanblokeyi tahminen ne zaman kaldırırsınız? @Akbank @AkbankDestek,Akbank,,Güvenlik nedeniyle hesabıma konulanblokeyi tahminen ne zaman kaldırırsınız?|Yapmak istediğim alışverişi güvenlik prosedürleriniz yüzünden yapamıyorum,
56,Yuvarlak disk ile sopayı birleştiren yerden kırıldı. Çok az ve güç kullanılmadan kullanıldı. Firma sorunu çözdü.,Firma,sorunu çözdü,kırıldı,
57,30 haziranda uçuşumu iptal ettiniz iadeyle ilgili dilekce de verdim hala ses yok nedir durum? @AJ_Destek,AJ_Destek,,uçuşumu iptal ettiniz|hala ses yok,
58,2 haftadır internetim hem kopuyor hem de internet hızım çok düşük; YouTube'dan video izleyemiyorum. Bir video açmaya çalışıyorum açılırken uykum geliyor. Kötü ve vasat internetimi nasıl iyileştirebilirim? 14 Mbps vaat edilmişken akşam saat 7'den sonra neden 1.04 Mbps alıyorum? Sabahları sıkıntı yok ancak akşam internetimi kullanamadıktan sonra bu durumun ne anlamı var? (https://www.speedtest.net/r--t/15779--716),YouTube,sıkıntı yok,internetim hem kopuyor|internet hızım çok düşük|Kötü ve vasat internetimi|video izleyemiyorum|açılırken uykum geliyor|akşam internetimi kullanamadıktan sonra bu durumun ne anlamı var,
59,Vodafone hediye çarkım dünden beri hata veriyor. 'Hay aksi hediye çarkında beklenmedik bir hata oluştu kısa bir süre sonra tekrar deneyebilirsiniz' diyor ama bunu dünden beri diyor. Çarkı çeviriyorum her çevirdiğimde aynı şeyi söylüyor. Bıktım artık lütfen yardımcı olun.,Vodafone,,hata veriyor|Bıktım artık,
60,2477561 TurkNet kullanıcısıyım İstanbul'un en merkezi yerinde oturmaktayım. Geçen sene ve bu sene 12 aylık ödemeler yaptım. TurkNet internet hızında sürekli kopmalar ve yavaşlamalar yaşıyorum. 12 aylık peşin ödeme yaptım ancak sonrasında hizmet kalitesi çok düştü. Bu durumdan şikayetçiyim. Sadece akşamları internet tabanlı bir oyun oynuyorum başka bir eğlencem yok arada sırada evden çalışıyorum. Bunu karşılayamayacak kadar kötüleşti TurkNet! Avrupa'da ve dünyada birçok ülke sorgusuz sualsiz fibere geçmesine rağmen bizlere hâlâ VDSL hizmet veriyorsunuz. Fibere geçmek istediğimizde 100 tane prosedürden bahsediyorsunuz. Böyle ülkeye böyle kurumlar. Çok şey beklememek lazım yazık gerçekten.,TurkNet,,hizmet kalitesi çok düştü|kötüleşti|Böyle ülkeye böyle kurumlar.|Çok şey beklememek lazım|yazık gerçekten|sürekli kopmalar ve yavaşlamalar yaşıyorum,
61,dün akşaman itibaren sinyal seviyesinde azalma var uyarısı alıyorum. kolay kurulum ve açıp kapamayı denedim ama hala aynı@DigiturkDestek,DigiturkDestek,,sinyal seviyesinde azalma var uyarısı alıyorum,
62,Saatlerdir su böyle akıyor. Biri sebebini açıklayabilir mi?! @iskignmudurlugu @iski_destek #hesapgünü31mart,iski_destek|iskignmudurlugu,,Saatlerdir su böyle akıyor,
63,Türk Telekom olarak tanıtıp sadenet bağlattığım günden beri verilen hiçbir hizmetten memnun değilim. 2 haftadır kapatmak istiyorum. Ulaşamıyorum ne bir şey yapabiliyorum ne de kapatmak istediğimi söylememe rağmen bana fatura gönderiyorlar. Kapatmak için cayma hakkım vardı ulaşana kadar bitti. Dönüş yapacağım deyip yapmadılar. Oyalayıp duruyorlar. Verdiğiniz hizmetin karşılığında utanmadan para istiyorsunuz. O parayı hak edecek hizmet verdiniz mi? Hayatımda gördüğüm en kötü hizmete sahipsiniz. Hala kapatamadım bu internet yüzünden oyun bile oynayamıyorum.,Türk Telekom|sadenet,,hiçbir hizmetten memnun değilim|utanmadan para istiyorsunuz|O parayı hak edecek hizmet verdiniz mi?|Hayatımda gördüğüm en kötü hizmete sahipsiniz|kapatmak istiyorum|Ulaşamıyorum|oynayamıyorum,
64,Obilet üzerinden en erken kalkış saati olan Isparta Petrol turizmden Manisa Balıkesir bilet aldım. 2 de gelmesi gereken araç 2.45 de geldi. Asla bir daha bu firmayı Isparta'ya gidecek olsam dahi tercih etmem. Resmi rötar süreleri 2 saat olduğundan bir işlem de yapılamıyor. Hostes t shirt ve terlik ile hizmet veriyor. Siz anlayın kaliteyi,Obilet|Isparta Petrol turizm,,gelmesi gereken araç 2.45 de geldi|Asla bir daha bu firmayı Isparta'ya gidecek olsam dahi tercih etmem|bir işlem de yapılamıyor,
65,Yıllardır Blutv üyesiyim sıkça canlı TV izlemek için de kullanıyorum. Özellikle haber ve spor kanallarını izlemek üyeliğimi devam ettirmemde etkili oldu. Son 10 günde TRT spor ve TRT spor yıldız kanallar arasından çıkmış. Özellikle voleybol takımlarımız önemli Uluslararası karşılaşmalara çıkarken bunun sebebini anlayamadım. Konuya acil çözüm getirilmesini ve geri dönüş sağlanmasını rica ederim.,Blutv|TRT spor|TRT spor yıldız,Yıllardır Blutv üyesiyim|izlemek üyeliğimi devam ettirmemde etkili oldu,Konuya acil çözüm getirilmesini ve geri dönüş sağlanmasını rica ederim|sebebini anlayamadım,
66,11 Haziran 2024 tarihinde internetim kesildi ve arıza kaydı açtırdım. Bugün 5. Gün olmasına rağmen hala hiçbir çözüm alamıyorum. Sürekli sürecinizi hızlandırmak için ekibimize ulaştık deniyor. Bayrama girmek üzereyiz ve hala kimse aramıyor. Müşteri hizmetleri sürekli kopyala yapıştır cevaplar verip bir de internet üzerinden zorla cevap veriyorlar,,,hiçbir çözüm alamıyorum|Bayrama girmek üzereyiz ve hala kimse aramıyor,
67,Superonline ♥️ @SuperYardim @Turkcell,Superonline|Turkcell|SuperYardim,♥️,,
68,Riot hesabımın maili değiştirildi. Riot hesabımın maili değiştirildi ve artık giriş yapamıyorum. Muhtemelen çalındı ve destek ekibine ulaşamıyorum. Hesabımda kostümler var ve uzun süredir kullandığım için es geçebileceğim bir durum değil. Umarım riot da bana yardım edebilir ama ulaşamıyorum,Riot,Riot hesabımın maili değiştirildi ve artık giriş yapamıyorum|Hesabımda kostümler var,Muhtemelen çalındı|destek ekibine ulaşamıyorum,
69,Turkcell'de bir adet normal bir adet de data hattım bulunmakta. Turkcell internet cihazına bağlı olan bu data hattımın taahhüt bitme bildirimini asıl kontak hattıma yapmadı ve bunun yerine inatla data hattına SMS atmış Turkcell. Geçen sene de aynı durum yaşandı ve ben özellikle bu bildirimlerin faturayı da aldığım ana hattıma yapılmasını istedim. Buna karşılık Turkcell hala bunu yapmayıp bana aşırı bir fatura çıkartmıştır. Ben bu durumun olacağını bilsem taahhüdümü yenilerdim. Aradaki farkın iadesini ve taahhüdümün yenilenmesini talep ediyorum. Eğer yenilemiyorsanız da bütün hatlarımı Turkcell'den çıkaracağım. 12.06.2024 saat 21 sularında yaptığım görüşmede görüştüğüm müşteri temsilcisi asla net bir cevap verememiş ve hiçbir şekilde bana yardımcı olmamıştır.,Turkcell,,asla net bir cevap verememiş|hiçbir şekilde bana yardımcı olmamıştır|aşırı bir fatura çıkartmıştır,
70,@DominosDestek E yazdım hadi,DominosDestek,,,
71,@KTDestek Gelen SMS görüntüsü.,KTDestek,,,
72,Sadece 3 gün için kesilen fatura 104.30 TL! Fabrika mıyız biz neyiz? Bu rezaleti düzeltin. @enerjisadestek @enerjisa,enerjisa|enerjisadestek,,rezaleti düzeltin|Sadece 3 gün için kesilen fatura 104.30 TL! Fabrika mıyız biz neyiz?,
73,Merhabalar bu şikayeti başka birine yardımcı olmak adına yazıyorum. Siz büyük bir firmasınız ve böyle bir hata yapmanızın çok yanlış olduğunu düşünüyorum. Amerikalı bir kadın Türkiye'ye gelmiş ve daha sonrasında geri dönerken köpekleri uçağa alınmamış ve Türkiye'de kalmış. Size ulaşamaya çalıştığında ise yanıt vermemişsiniz. Kendisi şu an çok kötü durumda. Kimse evladını geride bırakmasın. Lütfen yardımcı olunhttps://vm.tiktok.com/ZMrY3qypd/ kendisinin yardım çağrısı da bu videoda var. Umarım ulaşır yardım edersiniz.,,,böyle bir hata yapmanızın çok yanlış olduğunu düşünüyorum|büyük bir firmasınız|kötü durumda,
