index,text,company,positive,negative,notr
26,Laptop sipariş ettim ama ekranı kırık geldi. Tamir için iade ettim fakat geri dönüş adına hiçbir bilgi alamadım.,,,ekranı kırık|geri dönüş alamadım,
27,Laptop siparişim geldi fakat ekranında çizikler var ve bazı tuşlar çalışmıyor. @hepsiburada,hepsiburada,,çizikler var|tuşlar çalışmıyor,
28,Laptopum bozuldu ve teknik servis içinde parça değişimi yapmıyorlar. 2 aydır bekliyorum ve mağduriyetim giderilmedi. Başka bir markaya geçmeyi düşünüyorum.,,,Laptopum bozuldu|parça değişimi yapmıyorlar|mağduriyetim giderilmedi,
29,MNG Kargo ile gönderdiğim paketi kaybettiler ve hiçbir şekilde yardımcı olmuyorlar. Nasıl bir sorumsuzluktur bu?,MNG Kargo,,kaybettiler|hiçbir şekilde yardımcı olmuyorlar|sorumsuzluktur,
30,MNG Kargo ile gönderim yaptım ama ürünüm kırık geldi. Hiçbir şekilde müşteri hizmetlerine ulaşamıyorum.,MNG Kargo,,ürünüm kırık geldi|ulaşamıyorum,
31,MNG Kargo paketimi yanlış adrese teslim etti, MNG Kargo,,yanlış adrese teslim etti,
32,MNG Kargo'dan gelen paketim paramparça! Bir de utanmadan zaten böyle geldi diyorlar. Gerçekten rezalet.,MNG Kargo,,rezalet|paramparça|utanmadan böyle geldi,
33,MNG Kargo'dan gelen ürünüm kayboldu ne zaman ulaşacak bi bilgi verseniz iyi olur,,ürünüm kayboldu,,
34,Maaş gününden bu yana bankanızdan haber alamıyorum paramın akıbeti ne olacak?,bankanız,,haber alamıyorum|paramın akıbeti,
35,Market alışverişi yaparken kasada tüm kartlarım hata verdi. Mecbur nakit ödedim ama rezil oldum. @Migros, Migros ,,rezil oldum,kartlarım hata verdi  
36,Market alışverişim @migros'dan yaptım ama kasiyer çok kaba davrandı bir daha uğramam,Migros,,kaba davrandı|bir daha uğramam,
37,Market alışverişim geldi her şey eksiksiz ama süt bozulmuştu market yetkilisi ile görüştüğümde değiştireceklerini söylediler,market,yetkilisi ile görüştüğümde değiştireceklerini söylediler,süt bozulmuştu,
38,Marketten aldığım süt bozuk çıktı kimse ilgilenmiyor. Paramı geri istiyorum ama market çalışanları ilgisiz.,,market çalışanları ilgisiz|süt bozuk çıktı,paramı geri istiyorum,
39,Marketten aldığım yoğurdun son kullanma tarihi geçmiş. Bu nasıl bir sorumsuzluk?,,,son kullanma tarihi geçmiş|sorumsuzluk,
40,Marketten aldığım çikolataların yarısı bayat çıktı. Nasıl böyle bir hata yapılır anlamıyorum @Ülker,Ülker,,yarısı bayat çıktı|hata yapılır,
41,Mavi mağazasından aldığım ceket ilk yıkamada çekti. Kalite bu mu?,Mavi,,ilk yıkamada çekti|Kalite bu mu?,
42,Mağazada görevli personel çok saygısızdı ve ilgisizdi. Bir daha kesinlikle burada alışveriş yapmam.,,kesinlikle burada alışveriş yapmam|saygısızdı|ilgisizdi,,
43,Mağazada çalışan personel çok ilgisizdi daha önce böyle bir şeyle karşılaşmamıştım bir daha asla gelmem #Zara,Zara,,ilgisizdi|asla gelmem,
44,Migros marketten aldığım süt ürünleri bozuk çıktı bir daha asla alışveriş yapmam,Migros,,bozuk çıktı|bir daha asla alışveriş yapmam,
45,Migros'tan aldığım sebzeler bozuk çıktı bu kadar kötü hizmet görmedim,Migros,,bozuk çıktı|kötü hizmet,
46,Migrostan aldığım patateslerin yarısı çürük çıktı geri götürdüm ama bir sürü prosedür varmış geri alamazlarmış sadece ürünler çöpe gitti,Migros,,çürük çıktı|geri alamazlarmış|çöpe gitti,
47,Müşteri hizmetlerine ulaşamıyorum. 4 gündür internet yok ve kimse ilgilenmiyor. Paramızla rezil oluyoruz.,,,internete ulaşamıyorum|kimse ilgilenmiyor|4 gündür internet yok|rezil oluyoruz,
48,Müşteri hizmetleriniz çok ilgisiz, bir haftadır sorunum çözülmedi. Hizmet kaliteniz çok kötü. Artık sizden alışveriş yapmayacağım.,,ilgilisiz|kötü|sorunum çözülmedi|alışveriş yapmayacağım,
49,Online alışveriş yaptım ama ürünü teslim almadım. Kargo şirketi ürünü kaybetti. Param hala iade edilmedi @Hepsiburada,Hepsiburada,,ürünü kaybetti|param hala iade edilmedi,
50,Online alışverişten aldığım kıyafetlerim tam bedenime uygun geldi.,,tam bedenime uygun geldi,,
51,PTT Kargo yine aynı hikaye: Paketi teslim etmeyi unuttular. Şikayet kaydı oluşturdum ama hala geri dönüş yok.,PTT Kargo,,teslim etmeyi unuttular|geri dönüş yok,şikayet kaydı oluşturdum  
52,PTT Kargo'da gönderim yaparken sürekli problemler yaşıyorum. Paketlerim kayboluyor ve müşteri hizmetleri ilgilenmiyor.,PTT Kargo,,paketlerim kayboluyor|ilgilenmiyor,
53,PTT Kargo'ya verdiğim sipariş 3 haftadır elime ulaşmadı. İlgilenir misiniz?,PTT Kargo,,3 haftadır elime ulaşmadı,İlgilenir misiniz  
54,PTT kargom bir haftadır gelmedi. Üstelik müşteri hizmetlerine de ulaşılamıyor. Rezalet!,PTT,,gelmedi|ulaşılamıyor|rezalet,
55,PTT kargosuyla gelen kolim yine hasarlı! Üçüncü kez aynı şey başıma geliyor artık yeter. Kiminle görüşeceğiz bu konuda?,PTT,,hasarlı|artık yeter,
56,Paketim 3 gündür elime ulaşmadı müşteri hizmetlerine ulaşamıyorum ne biçim bir hizmet bu?,,,Paketim 3 gündür elime ulaşmadı|müşteri hizmetlerine ulaşamıyorum|ne biçim bir hizmet bu?,
57,Paketim geldi ama yanlış ürün yollamışsınız değiştirilmesini istiyorum.,,,yanlış ürün yollamışsınız,
58,Paketim hızlı geldi ama içindeki ürünler eksikti. @kargofirma,kargofirma,hızlı geldi,ürünler eksikti,
59,Paketin teslim süresi rezalet. Bir daha asla buradan alışveriş yapmam.,,,teslim süresi rezalet|asla alışveriş yapmam,
60,Paramı yatırmadınız sürekli oyalıyorsunuz ne biçim bir bankasınız ben bu kadar sorumsuzluk görmedim.,,ben bu kadar sorumsuzluk görmedim,sürekli oyalıyorsunuz|ne biçim bir bankasınız,
61,Pazar günü markette alışveriş yaparken @Migros kartım çalışmadı. Kasada rezil oldum yok böyle bir şey,Migros,,rezil oldum|kartım çalışmadı,yok böyle bir şey  
62,Peynir marketten aldıktan sonra küflenmiş çıktı bu nasıl iş #Migros, Migros,,küflenmiş çıktı,bu nasıl iş  
63,Pttcell'e geçeli bir ay oldu. Her hafta cuma günü yaptığım Sil Süpür hep dakika veriyor. Neden GB vermiyor bu hafta da böyle olursa hat numaramı taşıyacağım. Bir an önce bu olayı düzeltmesini istiyorum. Aksi halde müşteri kaybedecektir. Pttcell bu işi çöz.,Pttcell,,bu işi çöz|böyle olursa hat numaramı taşıyacağım|hep dakika veriyor,
64,Randevu saatini tam zamanında almam güzel oldu ama müşteri hizmetleri çok ilgisizdi,herhangi bir şirket,randevu saatini tam zamanında almam,güzel oldu ama müşteri hizmetleri çok ilgisizdi,
65,Resmen rezalet! İnternet bağlantım sürekli kesiliyor ve müşteri hizmetleri hiçbir işe yaramıyor. @VodafoneNet,VodafoneNet,,rezalet|bağlantım sürekli kesiliyor|hiçbir işe yaramıyor,
66,Restorandan aldığım yemekler bozuk çıktı, midem mahvoldu! #Restoran,,bozuk çıktı|midem mahvoldu,
67,Sabah saat 10'dan beri internet yok kimse ilgilenmiyor Vodafone Net ile çalışmak pişmanlıktır, Vodafone Net,,ilgilenmiyor|çalışmak pişmanlıktır,
68,Sabah sabah karttan fazla para çekilmiş nasıl bir sistem böyle! Ziraat Bankası, Ziraat Bankası,,fazla para çekilmiş|nasıl bir sistem böyle,
69,Sabırsızlıkla beklediğim kargo iki haftadır gelmedi müşteri hizmetleri dönüş yapmıyor Aras Kargo,Kargo |Aras Kargo,,iki haftadır gelmedi|dönüş yapmıyor,
70,Sim kartım bozuldu ve yerine yenisini almak için 3 gün beklemem gerekti. Hiçbir müşteri temsilcisi de konuya çözüm bulamadı.,,,bozuldu|üç gün beklemem gerekti|çözüm bulamadı,
71,Sinema bileti aldım ama koltuğum başkalarına verilmişti. Bu kadar kötü bir organizasyon görmedim, bir daha gelmem.,,koltuğum başkalarına verilmişti|kötü bir organizasyon|bir daha gelmem,
72,Sipariş ettiğim ayakkabılar yanlış geldi bu kadar sorumsuzluk görmedim bir daha alışveriş yapmam,,,yanlış geldi|sorumsuzluk,
73,Sipariş ettiğim kitaplar geldi fakat kapakları yıpranmış ve sayfaları eksik, KitapYurdu,,kapakları yıpranmış|sayfaları eksik,
74,Telefonumun camı daha yeni değişmişti ama tekrar çatladı. Bu kadar kalitesiz bir işçilik olur mu? Servise gönderip tekrar değişim talep edeceğim.,,,daha yeni değişmişti|kalitesiz bir işçilik,
75,Sipariş verdim ama kargo hala gelmedi. Müşteri hizmetlerine de ulaşamıyorum. Bu ne biçim hizmet?,,,kargo hala gelmedi|ulaşamıyorum|ne biçim hizmet,
76,Sipariş verdim bir hafta oldu hala elime ulaşmadı böyle kötü hizmet görmedim. @Hepsiburada,Hepsiburada,,kötü hizmet görmedim|bir hafta oldu hala elime ulaşmadı,
77,Sipariş verdiğim pizza eksik malzemeyle geldi ve müşteri hizmetleri hiç yardımcı olmadı. Bir daha asla Domino's'tan sipariş vermem,Domino's,,eksik malzemeyle geldi|müşteri hizmetleri hiç yardımcı olmadı,
78,Sipariş verdiğim ürün bir haftadır kargoya verilmedi. Sürekli müşteri hizmetlerini arıyorum ama hep aynı cevabı alıyorum. #Hepsiburada,Hepsiburada,,bir haftadır kargoya verilmedi|hep aynı cevabı alıyorum,müşteri hizmetlerini arıyorum  
79,Siparişimi iptal ettim ama hala para iadesi yapılmadı @Hepsiburada,Hepsiburada,,para iadesi yapılmadı,
80,Siparişimi tam bir hafta geç gönderdiniz bir daha kesinlikle alışveriş yapmam,alışveriş,,geç gönderdiniz|kesinlikle alışveriş yapmam,
81,Siparişlerim geç geldi müşteri hizmetlerine ulaşmak imkansız! Bir daha asla buradan alışveriş yapmam.,,,geç geldi|ulaşmak imkansız|asla alışveriş yapmam,
82,Siparişlerim zamanında teslim edilmedi ve müşteri hizmetleriyle iletişim kuramıyorum. Bu kadar kötü bir hizmet görmedim. Artık bu firmadan alışveriş yapmayacağım.,alışveriş,,teslim edilmedi|kötü bir hizmet|iletişim kuramıyorum,
83,Sistemde sürekli hata alıyorum ve kimse ilgilenmiyor. Müşteri temsilcisine ulaşmak imkansız. Bu kadar kötü bir hizmet görmedim.,,,sürekli hata alıyorum|kimse ilgilenmiyor|kötü bir hizmet,
84,Son siparişimdeki #pizza yanık geldi ve tadı berbattı! Bu hizmete devam ederse bence müşteri kaybederler.,,bence müşteri kaybederler,yanık geldi|berbattı!,
85,Su faturamda ciddi bir artış var şimdiye kadar böyle bir şey yaşamadım @isudestek lütfen yardımcı olun,İSUdestek,,ciddi bir artış|böyle bir şey yaşamadım,yardımcı olun  
86,Supermarketten aldığım yoğurt bozulmuş çıktı. Bir daha asla oradan alışveriş yapmam.,Supermarket,,yoğurt bozulmuş|alışveriş yapmam,
87,Surat kargo teslimat yapmadığı gibi aradığımda sürekli meşgule atıyor!,Surat kargo,,teslimat yapmadığı|sürekli meşgule atıyor,
88,Bu sabah kargom geldi ama kutusu yırtılmıştı çok kötü bir deneyimdi,Aras Kargo,,kutusu yırtılmıştı|kötü bir deneyimdi,
89,TTNET internet hızım sürekli düşüyor. Teknik destek de bir türlü çözemiyor.,TTNET,,internet hızım sürekli düşüyor|bir türlü çözemiyor,
90,TTNET internetim sürekli kopuyor müşteri hizmetleri de yardımcı olmuyor.,TTNET,,internetim sürekli kopuyor|yardımcı olmuyor.,
91,TTNET'ten internet hizmeti aldım ama hız sorunları yaşıyorum. Müşteri hizmetleri de yardımcı olmuyor.,TTNET,,hız sorunları yaşıyorum|yardımcı olmuyor,
92,TTnet internet hızım yerlerde sürünüyor ne zaman düzelecek diye bekliyorum,TTnet,,hızım yerlerde sürünüyor,
93,Telefon almak için @Hepsiburada'ya baktım ama fiyatlar uçmuş resmen!,Hepsiburada,,uçmuş,
94,Telefon faturam her ay düzenli ödüyorum ama bu ay 50 TL fazla geldi Vodafone neden böyle oldu?,Vodafone,,50 TL fazla geldi,neden böyle oldu  
95,Telefon hattımı 3 aydır iptal etmiyorlar. Defalarca aradım ama sonuç alamadım. Bu kadar kötü bir müşteri hizmeti görmedim.,Telefon şirketi,,iptal etmiyorlar|sonuç alamadım|kötü bir müşteri hizmeti görmedim,
96,Telefon hattımı değiştirdiğimden beri sinyal problemi yaşıyorum. Bu kadar kötü bir hizmet görmedim.,,,sinayl problemi|kötü bir hizmet,
97,Telefonda konuşma süresi 3 saati geçmiyor ve şarjı hemen bitiyor. Bu sorunun çözülmesini istiyorum.,,,şarjı hemen bitiyor|3 saati geçmiyor,bu sorunun çözülmesini istiyorum  
98,Telefonda yarım saattir müşteri hizmetlerini bekliyorum bu kadar kötü hizmet görmedim,Türk Telekom,,kötü hizmet|bekliyorum,
99,Telefonum arızalandı ve daha bir ay olmadan bozuldu teknik servise gönderdim hala haber yok. Gerçekten bu kadar kötü bir hizmet beklemiyordum. @Samsung, Samsung, ,kötü bir hizmet|bozuldu|haber yok,teknik servise gönderdim  
100,Telefonuma aldığım yeni güncelleme ile sürekli donuyor ve uygulamalar açılmıyor. Hiç memnun değilim.,,,donuyor|uygulamalar açılmıyor|memnun değilim,
101,Telefonumu aldıktan bir hafta sonra ekran kendi kendine titremeye başladı. Servis hala dönüş yapmadı ve müşteri hizmetleri de durumu çözmek için hiçbir adım atmıyor. @Teknosa,Teknosa,,durumu çözmek için hiçbir adım atmıyor|Servis hala dönüş yapmadı|ekran kendi kendine titremeye başladı,
102,Telefonumu servise gönderdim iki hafta oldu hala ses yok ne zaman dönecekler?,,,iki hafta oldu hala ses yok|ne zaman dönecekler,
103,Telefonumun bataryası hemen bitiyor ve sürekli ısınma problemi yaşıyorum. Samsung'dan asla memnun kalmadım! Kesinlikle değişim talep ediyorum.,Samsung,,bataryası hemen bitiyor|ısınma problemi|memnun kalmadım,
104,Ürün elime ulaştı ama kırık çıktı. Böyle bir sorumsuzluk olmaz! Ayrıca kargo geç geldi.,,ürün elime ulaştı,,kırık çıktı|sorumsuzluk|geç geldi  
105,Ürün elime ulaştı ama kutusu yırtık içinden bazı parçalar eksik. Kesinlikle @trendyol iade yapmalı.,trendyol,,yırtık|eksik|iade yapmalı,
106,Ürün elime ulaştı ama kutusu hasarlıydı ve içindeki parça eksikti. Bu nasıl bir hizmet?,,elime ulaştı,kutusu hasarlı|parça eksikti|bu nasıl bir hizmet,
107,Ürün elime ulaştı ama kutusu ezilmiş ve içindeki parça eksik,Amazon,,kutusu ezilmiş|içindeki parça eksik,
108,Telefonumun bataryası çabucak bitiyor ve sürekli ısınma problemi yaşıyorum. Garanti kapsamında tamir edilmesini istiyorum.,,,ısınma problemi|bataryası çabucak bitiyor,tamir edilmesini istiyorum  
109,Ürün elime ulaştı ama eksik parçalar var kimle iletişim kuracağım bilmiyorum @AmazonDestek,AmazonDestek,,eksik parçalar var|kimle iletişim kuracağım,
110,Ürün elime ulaştı ama bozulmuş. Hemen değişim yapın lütfen.,,ürün elime ulaştı,bozulmuş,değişim yapın  
111,Ürün elime ulaşmadı, müşteri hizmetleri cevap vermiyor. Bu nasıl bir hizmet anlayışıdır?,,hizmet anlayışı|ulaşmadı|cevap vermiyor,
112,Ürün bugün elime ulaştı ama kırık çıktı. Bu nasıl bir hizmet @Hepsiburada?,Hepsiburada,,kırık çıktı,
113,Çok sinirliyim! Faturamı ödediğim halde elektriğim kesildi. İlgilenir misiniz?,,ödediğim halde elektriğim kesildi|Çok sinirliyim,,ilgilenir misiniz  
114,Çok sinirliyim! @XBank kredi kartı borcumu ödememe rağmen hala faiz eklenmiş. Buna bir çözüm bulunsun yoksa hesabımı kapatacağım.,XBank,,sinirliyim|hala faiz eklenmiş|hesabımı kapatacağım,Buna bir çözüm bulunsun  
115,Çok kötü bir hizmet @VodafoneNet interneti tam olarak çekmiyor müşteri hizmetleriyle görüşmek zaten imkansız.,VodafoneNet,,kötü bir hizmet|çekmiyor|görüşmek imkansız,
116,Çok kötü bir deneyim yaşadım bağlantı sürekli kopuyor @Superonline,Superonline,,kötü bir deneyim,
117,Çiçeksepeti'nden bir demet çiçek almıştım. Resmen solmuş çiçekler göndermişler. Bu kadar kötü hizmet görmedim.,Çiçeksepeti,,solmuş çiçekler,kötü hizmet  
118,Çiçeksepeti'nden aldığım çiçekler solmuş geldi. Paramla rezil oldum.,Çiçeksepeti,,solmuş|rezil oldum,
119,Çiçeksepeti'nden aldığım çiçekler solmuş geldi. Bir daha buradan alışveriş yapmayı düşünmüyorum.,Çiçeksepeti,,solmuş|bir daha buradan alışveriş yapmayı düşünmüyorum,
120,Çiçeksepeti'nden aldığım çiçek solmuş. Bu nasıl bir hizmet? Paramı iade edin. Bir daha asla buradan alışveriş yapmam,Çiçeksepeti,,solmuş|nasıl bir hizmet|asla buradan alışveriş yapmam,
121,Çiçeksepeti'nden aldığım çiçek solmuş olarak geldi. Hayatımda böyle bir rezillik görmedim. Sipariş iptali ve para iadesi talep ediyorum.,Çiçeksepeti,,solmuş|rezillik|Sipariş iptali|para iadesi talep ediyorum,
122,Çektiğim kredinin geri ödemesi çok yüksek geldi. Bu kadar yüksek faiz oranı olmamalı. Üstelik müşteri hizmetleri de hiç yardımcı olmuyor.,,çektiğim kredi,çok yüksek|hiç yardımcı olmuyor,
123,Çektiğim kredi için bu kadar faiz ödeme nedenim nedir? #GarantiBankası,GarantiBankası,,faiz ödeme nedenim,
124,Çamaşır makinemiz bozuldu ve @Arçelik servisi çağırdım bir hafta oldu ama gelen giden yok. Rezil bir servis bu nasıl iş!,Arçelik,,bozuldu|gelen giden yok|rezil bir servis,
125,Çalışmıyorsunuz! 2 haftadır cep telefonu faturamı ödeyemiyorum. Müşteri hizmetleri açmıyor. @Turkcell,Turkcell,,Çalışmıyorsunuz|2 haftadır ödeyemiyorum|açmıyor,
126,Yoğun iş temposundan sonra @Starbucks'ta kahvemi yudumlamak muhteşemdi ama fiyatlar uçmuş!,Starbucks, muhteşemdi,fiyatlar uçmuş,
127,Yolculuk boyunca klima bozuktu. Hem sıcak hem de havasızlıktan fenalık geçirdik ve kimse ilgilenmedi.,,,klima bozuktu|fenalık geçirdik|kimse ilgilenmedi,
128,Yine mi İnternet kesintisi oldu? 3 gündür bağlantı yok. #Turknet,Turknet,,bağlantı yok|kesintisi oldu,
129,Yine internetim kesildi ve müşteri hizmetleri hiçbir şey yapmıyor. @Turknet pişmanlıktır.,Turknet,,internetim kesildi|pişmanlıktır|hiçbir şey yapmıyor,
130,Yeni internet sağlayıcım çok berbat ya; sürekli bağlantı kopuyor. Bir çözüm bulun lütfen,internetsaglayici,,çok berbat|bağlantı kopuyor,çözüm bulun lütfen  
131,Yeni aldığımız bulaşık makinesi sürekli su kaçırıyor. Teknik servis hiç yardımcı olmuyor ne yapmalıyız?,,hiç yardımcı olmuyor,su kaçırıyor,ne yapmalıyız  
132,Yeni aldığım çamaşır makinesi çok gürültülü çalışıyor. Servis çağırdım ama gelenler sorun olmadığını söyledi.,,,gürültülü çalışıyor|sorun olmadığını söyledi,
133,Yeni aldığım televizyonun ekranı kırık çıktı. Müşteri hizmetlerini aradım ama dönüş yapılmadı. Bu kadar kötü bir hizmet beklemiyordum.,,,kırık çıktı|geri dönüş yapılmadı|kötü bir hizmet beklemiyordum,
134,Yeni aldığım televizyon ilk haftada bozuldu ve müşteri hizmetleri çok yavaş. Bir daha LG almayı düşünmüyorum.,LG,,bozuldu|çok yavaş|bir daha LG almayı düşünmüyorum,
135,Yeni aldığım televizyon ilk hafta bozuldu. Servis çağırdım ama hala geri dönüş yapılmadı.,,,ilk hafta bozuldu|geri dönüş yapılmadı,
136,Yeni aldığım televizyon daha ilk haftasında bozuldu. Servis gelene kadar beklemek zorundayım. Zaten çok gürültülü çalışıyordu.,,,bozuldu|gürültülü çalışıyordu|beklemek zorundayım,
137,Yeni aldığım telefonun kamerası bozuk çıktı. Kutu açılınca fark ettim ve şok oldum. @TeknoMağaza, TeknoMağaza,,bozuk çıktı|şok oldum,
138,Yeni aldığım telefonun kamerası bir hafta geçmeden bozuldu. Bu kadar pahalı bir ürünün bu kadar çabuk arızalanması kabul edilemez.,,bu kadar pahalı,bozuldu|çabuk arızalanması,
139,Yeni aldığım telefonun ekranı çatlak çıktı. @Samsung müşteri hizmetlerine ulaşmak ne mümkün.,Samsung,,ekranı çatlak çıktı|ulaşmak ne mümkün,
140,Yeni aldığım telefonun ekranı kırık çıktı. Müşteri hizmetleri ilgilenmiyor.,,,ekranı kırık çıktı|ilgilenmiyor,
141,Yeni aldığım telefonun bataryası daha ilk haftada bozuldu. Bu kadar kalitesiz bir ürün beklemiyordum. #Samsung, #Samsung, ,bataryası bozuldu|kalitesiz,
142,Bir haftadır internetim yok! Teknik destek ekibi ne zaman gelecek?,,teknik destek ekibi,ne zaman gelecek,
143,Yeni aldığım telefon ilk hafta bozuldu en kısa sürede değişim yapılmasını bekliyorum @teknosadestek,teknosadestek,,bozuldu|değişim yapılmasını bekliyorum,
144,Yeni aldığım telefon daha iki haftada bozuldu. Müşteri hizmetleri hiçbir şekilde yardımcı olmuyor.,,,bozuldu|hiçbir şekilde yardımcı olmuyor,
145,Yeni aldığım laptop sürekli donuyor ve aşırı ısınıyor. Müşteri hizmetlerine bağlanmak imkansız. Bir çözüm bulana kadar kullanmak istemiyorum.,,Yeni aldığım laptop,sürekli donuyor|aşırı ısınıyor|Müşteri hizmetlerine bağlanmak imkansız,kullanmak istemiyorum  
146,Yeni aldığım laptop aşırı ısınıyor ve birkaç gün içinde kapanıyor. Teknoloji devi böyle ürün üretmemeli.,,,aşırı ısınıyor|kapanıyor|böyle ürün üretmemeli,
147,Yeni aldığım buzdolabının ışığı bir gün çalışıyor bir gün çalışmıyor. Servis geldi baktı ama hala aynı sorun devam ediyor. Vestel'e güvenip almıştım ama pişman oldum.,Vestel,,pişman oldum|aynı sorun devam ediyor|bir gün çalışıyor bir gün çalışmıyor,Servis geldi baktı  
148,Yeni aldığım buzdolabı hemen bozuldu. Garantisi var ama bir türlü servisi bulamıyorum. Çok sinir bozucu.,,,hemen bozuldu|servisi bulamıyorum|sinir bozucu,
149,Yeni aldığım bulaşık makinesi harika çalışıyor fakat kurulum ekibi çok geç geldi.,,harika çalışıyor,kurulum ekibi çok geç geldi,
150,Yeni aldığım bilgisayarın ekranı bozuk çıktı. Bu kadar para verdik ama tam bir hayal kırıklığı oldu. Servisle iletişime geçmek istiyorum.,,,bozuk çıktı|hayal kırıklığı,
151,Yeni aldığım bilgisayar 3 gün içinde bozuldu. @Teknosa müşteri hizmetlerinden herhangi bir destek alamıyorum. Böyle bir rezalet görmedim.,Teknosa,,bozuldu|destek alamıyorum|rezalet,
152,Yeni aldığım beyaz eşyalar 3 hafta geçmesine rağmen hala teslim edilmedi,bu ne ciddiyetsizlik!,,ciddiyetsizlik|teslim edilmedi,aldığım  
153,Yeni aldığım #telefonumun şarjı bir gün bile gitmiyor.,telefonumun şarjı,,bir gün bile gitmiyor,
